	sentence	label
5918	like the best 60 mins expos , the film \ ( at 80 minutes \ ) is actually quite entertaining	5
8044	the story is predictable , the jokes are typical sandler fare , and the romance with ryder is incomprehensible	4
12575	more wee than triumphed	6
7392	the journey to the secret 's eventual discovery is a separate adventure , and thrill enough	1
13381	the sum of all fears is remarkably fuddled about intentions and history , which bilge it of the amazing compounds that would quiver our in our laces \ ( or cinema postures \ )	6
14157	rather of contriving a climactic heros 's perish for the treasured vast characters who shall remain uncertain , why not guests some genuine spontaneity into the film by afterwards the mischievous aliens' laser guns actually jolted something for once \?	2
3648	one of the more intelligent children 's movies to hit theaters this year	1
953	the storytelling effortlessly putters along exploring for unmistakable result and coming up blank	6
11606	allen 's underestimated charm delivers more goodies than lumps of anthrax	5
10406	intriguing and stylish	5
10162	a considerably more successful translation than its most famous previous film adaptation , writer director antoni friedman 's instead updated 1970 british production	5
13756	an even more predictable , cliche ridden endeavor than its predecessor	0
8889	as a kind of colorful , dramatized pbs project , frida gets the job reached but , for that , why not watching a documentary \ ?	6
15102	a slick , engrossing melodrama	1
3828	the problem is the needlessly poor quality of its archival prints and film footage the images deficiency contrast , are murky and are frequently too dark to ser decipherable	4
7468	tsai has a well deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances	1
3392	the movie 's vision of a white american zealously spreading a puritanical brand of christianity to south seas islanders is one only a true supporter could pleasure	4
6305	inconvenient but unreservedly and , anyhow , it vanquishing you over	7
7716	en s mismo el rey le n es un espect culo digno de contemplarse en cine , dvd o en su soberbio montaje teatral pero el hacerlo en la pantalla imax es una experiencia colosal	1
8603	all in all , the film is an likeable and frankly says mythic of a ones who live among our , but not always with we	7
925	frailty has been written so better , that even a simple goddammit ! near the end takes on a whole other meaning	3
1804	plummer steals the show without resorting to camp as nicholas' wounded and wounding uncle ralph it 's a great performance and a reminder of dickens' grandeur	1
12094	self congratulatory , misguided , and ill informed , if nonetheless compulsively watchable	0
15285	the stories here undergo from the chosen format	2
1292	fubar is very funny , but not always in a laugh out vowel way	5
8307	it deciding me up , bumped me around , and dropped me back in my seat with more emotional troop than any other recent film	3
6256	far more enjoyable than its predecessor	0
7761	it is damaging , but admittedly not without advantages as entertainments	6
5732	dull and mechanical , kinda like a highly kooky museum exhibit	4
14776	a genuinely funny entirety comedy that also asks its audience in a heartwarming , nonjudgmental species of way to believe what we value in our dili lives	5
14701	a zombie flick in each foreboding of the nutshell unthinking , forlorn , listless , lively , upsetting , dreadful	6
13319	i'm sure if you 're a hartley fan , you chance enjoy yourself me , i did n't loving for it	2
3040	a brutally honest documentary about a much anticipated households reunion that gonna wrong thanks to culture shock and a refusal to empathise with others	5
6766	an amusing and unexpectedly insightful examination of sexual jealousy , bitterness and the fine line between enthusiasm and pretence	5
